Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,1
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,3
Kab. Lampung Selatan,Lampung,POLRI,67
Kab. Lampung Selatan,Lampung,POLRI,90
Kab. Lampung Selatan,Lampung,POLRI,74
Kab. Lampung Selatan,Lampung,POLRI,24
Kab. Lampung Selatan,Lampung,POLRI,1
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,0
Kab. Lampung Selatan,Lampung,TNI,2
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,TNI,8
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,2
Kab. Lampung Selatan,Lampung,TNI,5
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,PENDIDIK,46
Kab. Lampung Selatan,Lampung,PENDIDIK,24
Kab. Lampung Selatan,Lampung,PENDIDIK,3
Kab. Lampung Selatan,Lampung,PENDIDIK,0
Kab. Lampung Selatan,Lampung,PENDIDIK,28
Kab. Lampung Selatan,Lampung,PENDIDIK,13
Kab. Lampung Selatan,Lampung,PENDIDIK,11
Kab. Lampung Selatan,Lampung,PENDIDIK,18
Kab. Lampung Selatan,Lampung,PENDIDIK,29
Kab. Lampung Selatan,Lampung,PENDIDIK,31
Kab. Lampung Selatan,Lampung,PENDIDIK,39
Kab. Lampung Selatan,Lampung,PENDIDIK,35
Kab. Lampung Selatan,Lampung,PENDIDIK,50
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,12
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,18
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,11
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,5
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,8
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,1
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,3
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,5
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,2
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,2
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,0
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,50
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,647
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,5
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,18
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,1
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,5
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,10
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,7
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,POLRI,2
Kab. Lampung Selatan,Lampung,POLRI,3
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,POLRI,1
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,POLRI,1
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,POLRI,1
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,POLRI,2
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,1
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,1
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,3
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,1
Kab. Lampung Selatan,Lampung,POLRI,9
Kab. Lampung Selatan,Lampung,POLRI,1
Kab. Lampung Selatan,Lampung,BUMN,3
Kab. Lampung Selatan,Lampung,LANSIA,100
Kab. Lampung Selatan,Lampung,LANSIA,88
Kab. Lampung Selatan,Lampung,BUMN,113
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,12
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,16
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,37
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,43
