Batch,Provinsi,Kab/kota,Kategori,Divaksin 1
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,12
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,3
LANSIA,Lampung,Kab. Mesuji,LANSIA,2
LANSIA,Lampung,Kab. Pesawaran,LANSIA,2
LANSIA,Lampung,Kab. Pringsewu,LANSIA,4
LANSIA,Lampung,Kab. Tanggamus,LANSIA,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,9
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,2
LANSIA,Lampung,Kab. Pesawaran,LANSIA,7
LANSIA,Lampung,Kab. Pringsewu,LANSIA,9
LANSIA,Lampung,Kab. Tanggamus,LANSIA,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,1
LANSIA,Lampung,Kab. Way Kanan,LANSIA,0
LANSIA,Lampung,Kota Metro,LANSIA,48
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,48
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,27
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,3
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,1
LANSIA,Lampung,Kota Metro,LANSIA,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,13
LANSIA,Lampung,Kab. Pringsewu,LANSIA,1
LANSIA,Lampung,Kab. Way Kanan,LANSIA,1
LANSIA,Lampung,Kota Metro,LANSIA,55
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,8
LANSIA,Lampung,Kab. Pesawaran,LANSIA,3
LANSIA,Lampung,Kab. Pringsewu,LANSIA,1
LANSIA,Lampung,Kab. Mesuji,LANSIA,2
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,2
LANSIA,Lampung,Kab. Tanggamus,LANSIA,5
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,8
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,3
LANSIA,Lampung,Kab. Way Kanan,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,110
LANSIA,Lampung,Kota Metro,LANSIA,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,6
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,2
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,6
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,1
LANSIA,Lampung,Kab. Way Kanan,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,66
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,12
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,15
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,3
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,3
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,4
LANSIA,Lampung,Kab. Mesuji,LANSIA,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,12
LANSIA,Lampung,Kab. Pringsewu,LANSIA,3
LANSIA,Lampung,Kab. Tanggamus,LANSIA,1
LANSIA,Lampung,Kab. Way Kanan,LANSIA,2
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,83
LANSIA,Lampung,Kab. Tanggamus,LANSIA,1
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,117
LANSIA,Lampung,Kota Metro,LANSIA,62
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,6
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,57
LANSIA,Lampung,Kota Metro,LANSIA,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,2
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,0
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,4
LANSIA,Lampung,Kab. Tanggamus,LANSIA,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,2
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,47
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,2
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,3
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,4
LANSIA,Lampung,Kab. Pesawaran,LANSIA,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,0
LANSIA,Lampung,Kota Metro,LANSIA,1
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,14
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,2
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,4
LANSIA,Lampung,Kab. Tanggamus,LANSIA,3
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,1
LANSIA,Lampung,Kab. Way Kanan,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,55
LANSIA,Lampung,Kota Metro,LANSIA,1
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,11
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,38
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,8
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,3
LANSIA,Lampung,Kab. Mesuji,LANSIA,9
LANSIA,Lampung,Kab. Pesawaran,LANSIA,2
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,2
LANSIA,Lampung,Kab. Pringsewu,LANSIA,2
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,64
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,2
LANSIA,Lampung,Kab. Way Kanan,LANSIA,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,25
LANSIA,Lampung,Kota Metro,LANSIA,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,28
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,2
LANSIA,Lampung,Kab. Pesawaran,LANSIA,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,10
