Batch,Provinsi,Kab/kota,Kategori,Prov,Divaksin 2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,536
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,4
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,8
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,2
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,567
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,7
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,30
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,1
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,14
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,7
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,33
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,4
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,3
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,272
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,43
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,47
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,24
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,16
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,6
LANSIA,Lampung,Kab. Mesuji,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,2
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,435
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,31
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,8
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,3
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,711
